Name,ICAO,Country
135 Airways,GNL,United States
1Time Airline,RNX,South Africa
2 Sqn No 1 Elementary Flying Training School,WYT,United Kingdom
213 Flight Unit,TFU,Russia
223 Flight Unit State Airline,CHD,Russia
224th Flight Unit,TTF,Russia
247 Jet Ltd,TWF,United Kingdom
3D Aviation,SEC,United States
40-Mile Air,MLA,United States
4D Air,QRT,Thailand
611897 Alberta Limited,THD,Canada
Ansett Australia,AAA,Australia
Abelag Aviation,AAB,Belgium
Army Air Corps,AAC,United Kingdom
Aero Aviation Centre Ltd.,AAD,Canada
Aero Servicios Ejecutivos Internacionales,SII,Mexico
Aero Biniza,BZS,Mexico
Aero Albatros,ABM,Spain
Aigle Azur,AAF,France
Aloha Airlines,AAH,United States
Alaska Island Air,AAK,United States
American Airlines,AAL,United States
Aviation Management Corporation,AAM,United States
Atlantis Airlines (USA),AAO,United States
Aerovista Airlines,AAP,United Arab Emirates
Asiana Airlines,AAR,Republic of Korea
Askari Aviation,AAS,Pakistan
Australia Asia Airlines,AAU,Australia
Astro Air International,AAV,United States
Afriqiyah Airways,AAW,Libya
Afrinat International Airlines,AFU,Gambia
Afric'air Express,AAX,Ivory Coast
Allegiant Air,AAY,United States
Angus Aviation,AAZ,Canada
Artem-Avia,ABA,Ukraine
African Business and Transportations,ABB,Democratic Republic of the Congo
Aban Air,ABE,Iran
Aerial Oy,ABF,Finland
Abakan-Avia,ABG,Russia
ABSA - Aerolinhas Brasileiras,TUS,Brazil
Abaet,ABJ,Brazil
Alberta Citylink,ABK,Canada
APSA Colombia,ABO,Colombia
Aerovias Bueno,ABU,Colombia
Aerocenter,ACR,AEROCENTER
Antrak Air,ABV,Ghana
Airborne Express,ABX,United States
ABX Air,ABX,United States
ATA Brasil,ABZ,Brazil
Avcard Services,ACC,United Kingdom
Academy Airlines,ACD,United States
Aero Comondu,ACO,Mexico
Astral Aviation,ACP,Kenya
Air Cess,ACS,Liberia
Air Aurora,AAI,United States
Air Cargo Transportation System,ACU,Kenya
Air Charter Service,ACV,United Kingdom
Aero Asia International,RSO,Pakistan
Air Charters,ACX,Canada
Air Togo,TGA,Togo
Air Somalia,RSM,Somali Republic
Atlas Cargo Lines,ACY,Morocco
Airservices Australia,ADA,Australia
Antonov Airlines,ADB,Ukraine
Air Atlantic Dominicana,ADC,Dominican Republic
Advanced Air Co.,ADD,Japan
Ada Air,ADE,Albania
Aerea Flying Training Organization,ADG,Spain
Audeli Air,ADI,Spain
Abicar,ADJ,Ivory Coast
ADC Airlines,ADK,Nigeria
Aero Dynamics,ADL,United Kingdom
Aerolineas Dominicanas,ADM,Dominican Republic
Aerodienst GmbH,ADN,Germany
Aerodiplomatic,ADP,Mexico
Aerodyne,ADY,United States
Avion Taxi,ADQ,Canada
Adria Airways,ADR,Slovenia
Aviones de Sonora,ADS,Mexico
Air Dorval,ADT,Canada
Airdeal Oy,ADU,Finland
Advance Air Charters,ADV,Canada
Air Andaman,ADW,Thailand
Anderson Aviation,ADX,United States
Air Europa,AEA,Spain
Air Southwest Ltd.,ASW,Canada
Air Special,ASX,Czech Republic
Aero Benin,AEB,Benin
Aerocesar,AEC,AEROCESAR
Aerotrans Airlines,AED,Russia
Aegean Airlines,AEE,Greece
Aerofumigaciones Sam,AEG,Chile
Aeroexpreso Interamericano,AEI,Colombia
Air Express,AEJ,Tanzania
Aerocon,AEK,Bolivia
Aero Madrid,AEM,Spain
